window_id,mode,score
jiufu_cae153a2ef6cb6_first30,min,0.07666394855553457
jiufu_cae153a2ef6cb6_first30,left,0.09283833616872737
jiufu_cae153a2ef6cb6_first30,right,0.026178196623944553
jiufu_f5a7ada186a785_first30,mean,0.25897107703724404
jiufu_f5a7ada186a785_first30,max,0.22842527925089307
jiufu_f5a7ada186a785_first30,min,0.22796552158863517
jiufu_f5a7ada186a785_first30,left,0.2252553039754749
jiufu_f5a7ada186a785_first30,right,0.2230323305704672
jiufu_8f2aab0fc1ae4b_first30,mean,0.12544365841808378
jiufu_8f2aab0fc1ae4b_first30,max,0.12566577862811154
jiufu_8f2aab0fc1ae4b_first30,min,0.11176753079232667
jiufu_8f2aab0fc1ae4b_first30,left,0.08028806663730614
jiufu_8f2aab0fc1ae4b_first30,right,0.14129889934908516
jiufu_05aaedc28c6708_first30,mean,0.07686988084428714
jiufu_05aaedc28c6708_first30,max,0.0556786010878251
jiufu_05aaedc28c6708_first30,min,0.06790958605385224
jiufu_05aaedc28c6708_first30,left,0.04899718740256686
jiufu_05aaedc28c6708_first30,right,0.036579575102679444
jiufu_0d1522aef374ec_first30,mean,0.11639674486754878
jiufu_0d1522aef374ec_first30,max,0.12121397495273781
jiufu_0d1522aef374ec_first30,min,0.1050133348692653
jiufu_0d1522aef374ec_first30,left,0.08052389449104033
jiufu_0d1522aef374ec_first30,right,0.1243946948215232
jiufu_2cdb051142d5ab_first30,mean,0.07519585571398743
jiufu_2cdb051142d5ab_first30,max,0.17719430319258636
jiufu_2cdb051142d5ab_first30,min,0.07430493324352858
jiufu_2cdb051142d5ab_first30,left,0.08352431182360234
jiufu_2cdb051142d5ab_first30,right,0.04593116614335219
jiufu_d4707a9c23271d_first30,mean,0.10159329542801787
jiufu_d4707a9c23271d_first30,max,0.08529722288133361
jiufu_d4707a9c23271d_first30,min,0.08526295275043072
jiufu_d4707a9c23271d_first30,left,0.0544294406503712
jiufu_d4707a9c23271d_first30,right,0.08063331037250938
jiufu_2f0c90ece853b4_first30,mean,0.10361426110589612
jiufu_2f0c90ece853b4_first30,max,0.3894563916811275
