reference,method,window_id,cluster,tp,fp,fn,precision,recall,f1
R2,frozen,jiufu_61a3c1628d9017_first30,859,0,0,22,0.0,0.0,0.0
R2,direct_roi_only,jiufu_61a3c1628d9017_first30,859,0,0,22,0.0,0.0,0.0
R2,frozen,jiufu_fbaed9c05fdf1a_first30,874,6,13,6,0.3157894736842105,0.5,0.3870967741935484
R2,direct_roi_only,jiufu_fbaed9c05fdf1a_first30,874,6,14,6,0.3,0.5,0.375
R2,frozen,jiufu_09732493a874e4_first30,623,6,15,4,0.2857142857142857,0.6,0.3870967741935484
R2,direct_roi_only,jiufu_09732493a874e4_first30,623,5,15,5,0.25,0.5,0.3333333333333333
R2,frozen,jiufu_afbc3c7536759a_first30,353,0,0,20,0.0,0.0,0.0
R2,direct_roi_only,jiufu_afbc3c7536759a_first30,353,0,0,20,0.0,0.0,0.0
R2,frozen,jiufu_c2f523dbca4113_first30,919,6,10,10,0.375,0.375,0.375
R2,direct_roi_only,jiufu_c2f523dbca4113_first30,919,6,11,10,0.35294117647058826,0.375,0.36363636363636365
R2,frozen,jiufu_19a4aa849045e9_first30,1185,14,4,3,0.7777777777777778,0.8235294117647058,0.8
R2,direct_roi_only,jiufu_19a4aa849045e9_first30,1185,13,4,4,0.7647058823529411,0.7647058823529411,0.7647058823529411
R2,frozen,jiufu_bfba3aa9a87b7c_first30,A1022181,12,8,4,0.6,0.75,0.6666666666666666
R2,direct_roi_only,jiufu_bfba3aa9a87b7c_first30,A1022181,8,9,8,0.47058823529411764,0.5,0.48484848484848486
R2,frozen,jiufu_542013dcb78dc0_first30,878,6,10,7,0.375,0.46153846153846156,0.41379310344827586
R2,direct_roi_only,jiufu_542013dcb78dc0_first30,878,5,9,8,0.35714285714285715,0.38461538461538464,0.37037037037037035
R2,frozen,jiufu_596ccaaf7a001c_first30,632,10,4,5,0.7142857142857143,0.6666666666666666,0.6896551724137931
R2,direct_roi_only,jiufu_596ccaaf7a001c_first30,632,11,2,4,0.8461538461538461,0.7333333333333333,0.7857142857142857
R2,frozen,jiufu_9b4d8a24856a9f_first30,1436,3,7,3,0.3,0.5,0.375
R2,direct_roi_only,jiufu_9b4d8a24856a9f_first30,1436,3,7,3,0.3,0.5,0.375
R2,frozen,jiufu_a1fad2b6534006_first30,353,9,3,9,0.75,0.5,0.6
R2,direct_roi_only,jiufu_a1fad2b6534006_first30,353,9,4,9,0.6923076923076923,0.5,0.5806451612903226
