cohort,window_id,cluster,variant,base_tp,base_fp,base_fn,count_status,tp,fp,fn,precision,recall,f1
lindian49,ns210947_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T073953n210947\20230806T073953n210947.MP4,whole_window_guard,16,10,8,partial_events_no_full_RR,0,0,24,0.0,0.0,0.0
lindian49,ns211003_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T074647n211003\20230806T074647n211003.MP4,local_event_guard,18,4,3,partial_events_no_full_RR,17,3,4,0.85,0.8095238095238095,0.8292682926829268
lindian49,ns211003_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T074647n211003\20230806T074647n211003.MP4,whole_window_guard,18,4,3,partial_events_no_full_RR,0,0,21,0.0,0.0,0.0
lindian49,ns211095_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,local_event_guard,16,10,7,complete_output,16,10,7,0.6153846153846154,0.6956521739130435,0.6530612244897959
lindian49,ns211095_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,whole_window_guard,16,10,7,complete_output,16,10,7,0.6153846153846154,0.6956521739130435,0.6530612244897959
lindian49,ns211146_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T073713n211146\20230807T073713n211146.MP4,local_event_guard,21,11,7,partial_events_no_full_RR,19,9,9,0.6785714285714286,0.6785714285714286,0.6785714285714286
lindian49,ns211146_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T073713n211146\20230807T073713n211146.MP4,whole_window_guard,21,11,7,partial_events_no_full_RR,0,0,28,0.0,0.0,0.0
lindian49,zs170236_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T103306n170236\20230806T103306n170236.MP4,local_event_guard,23,8,7,partial_events_no_full_RR,23,8,7,0.7419354838709677,0.7666666666666667,0.7540983606557377
lindian49,zs170236_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T103306n170236\20230806T103306n170236.MP4,whole_window_guard,23,8,7,partial_events_no_full_RR,0,0,30,0.0,0.0,0.0
lindian49,zs170416_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T103825n170416\20230806T103825n170416.MP4,local_event_guard,17,4,5,complete_output,17,4,5,0.8095238095238095,0.7727272727272727,0.7906976744186046
lindian49,zs170416_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T103825n170416\20230806T103825n170416.MP4,whole_window_guard,17,4,5,complete_output,17,4,5,0.8095238095238095,0.7727272727272727,0.7906976744186046
