cohort,review_id,window_id,cluster,strict_visible_phase,prediction_status,version,method,tolerance_seconds,tp,fp,fn,precision,recall,f1
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R3,frozen_baseline,0.3,11,3,4,0.7857142857142857,0.7333333333333333,0.7586206896551724
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R2,frozen_baseline,0.5,9,5,5,0.6428571428571429,0.6428571428571429,0.6428571428571429
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R3,frozen_baseline,0.5,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R2,frozen_baseline,0.75,12,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R3,frozen_baseline,0.75,14,0,1,1.0,0.9333333333333333,0.9655172413793104
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R2,frozen_baseline,1.0,13,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R3,frozen_baseline,1.0,14,0,1,1.0,0.9333333333333333,0.9655172413793104
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R3,previously_rejected_local_guard,0.3,9,3,6,0.75,0.6,0.6666666666666666
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R2,frozen_baseline,0.1,0,0,13,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R3,frozen_baseline,0.1,0,0,12,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R2,frozen_baseline,0.2,0,0,13,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R3,frozen_baseline,0.2,0,0,12,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R2,frozen_baseline,0.3,0,0,13,0.0,0.0,0.0
