cohort,review_id,window_id,tolerance_seconds,r2_time,r3_time,r2_minus_r3_seconds,caveat
lindian49,R3-04,zs190621_anchored_30s,0.2,20.513,20.408,0.10500000000000043,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,28.541,28.479,0.062000000000001165,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,3.217,2.998,0.21899999999999986,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,4.361,4.381,-0.020000000000000462,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,9.879,9.916,-0.03700000000000081,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,10.961,11.069,-0.10800000000000054,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,11.839,11.876,-0.036999999999999034,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,13.88,13.951,-0.07099999999999973,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,14.96,15.104,-0.14399999999999835,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,16.1,16.142,-0.04199999999999804,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,17.168,17.064,0.1039999999999992,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,18.199,18.102,0.09700000000000131,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,19.28,19.14,0.14000000000000057,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,20.513,20.408,0.10500000000000043,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,25.503,25.712,-0.20899999999999963,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.3,28.541,28.479,0.062000000000001165,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.5,3.217,2.998,0.21899999999999986,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.5,4.361,4.381,-0.020000000000000462,truncated_matched_subset_not_reaction_latency
