file_id,source_path,bytes,sha256_full,scope
jiufu_fffa829b4cfc5f,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091121-878.MP4,6785277,1f43a24a6032b7b1c4ca04f17694a378872966eeeac431152ffe315ce4310834,full_file_identity_not_visual_near_duplicate_detection
jiufu_39742bec07007b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091233-1146.MP4,15657582,61708b88e52e7d3638209763cf893bf1a1c505d0eec9c76226b6ba864a443de5,full_file_identity_not_visual_near_duplicate_detection
jiufu_a7f96cc7661e4a,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091500-1371.MP4,10347572,1097ed961e852118c1a2dad444f3650239cd775dca0b9e0be09fb3d4aabcc38b,full_file_identity_not_visual_near_duplicate_detection
jiufu_cae153a2ef6cb6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091834-1630.MP4,14914870,602d6d991851a5ee8036eae9af9a5fb8bdc2727428a6d54320168218a8c35110,full_file_identity_not_visual_near_duplicate_detection
jiufu_f5a7ada186a785,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T092133-281.MP4,16076696,1b83b3a680b6c41f31e65ead2429ccb8a5c81bb8ad27c9bec712917ccb12e9fa,full_file_identity_not_visual_near_duplicate_detection
jiufu_8f2aab0fc1ae4b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T092359-347.MP4,11570588,8db9ed12d06e30bf493e328ca3391382c8f335e5cd7d3db34d55942fad1f2068,full_file_identity_not_visual_near_duplicate_detection
jiufu_b230c11bab398b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T093138-1078.MP4,15497479,41d2f8c61a1cf3e608fc1de8540ded41afaa64661b13abf39582234bcbabf646,full_file_identity_not_visual_near_duplicate_detection
jiufu_05aaedc28c6708,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T093355-161.MP4,11947401,2b6d55bae13adb97b891d46b236e6ebebb1f7714ff75d6c28dccefa3afaa17f3,full_file_identity_not_visual_near_duplicate_detection
jiufu_0d1522aef374ec,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T085035-A1022205.MP4,17556799,b7ac9bb12a1b50c41064b1bd1e422f2b176aa91e831e49c08d44f2a089250585,full_file_identity_not_visual_near_duplicate_detection
jiufu_d34b02325b217f,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T085306-1831.MP4,6799417,ed0b4b7154420ee0f95f7780a6f5f6b2a1132be0daecb308d2646f7da9383d70,full_file_identity_not_visual_near_duplicate_detection
